escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,1.0,1.0,0.0,6.0,56.0869565217391,53.0,20.0,67.0,2.0,0.0,0.0,0.0,0.0,1037.0,94.5967272727273,0.0,1037.0,52.8868360277136,16.4898746383799,28.0,4.08928571428571,6.0,40.7588959621529,20442.3766248649,391.504,445.879
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,1.0,0.0,1.0,6.0,42.4507658643326,34.0,26.0,48.0,1.0,0.0,0.0,1.0,0.0,960.0,93.34,0.0,960.0,53.8004750593824,12.2916666666667,42.0,2.69642857142857,12.0,41.1537760570004,20372.7500436654,375.378,416.002
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,1.0,0.0,1.0,6.0,52.1531100478469,38.0,16.0,54.0,1.0,0.0,0.0,0.0,0.0,965.0,95.3003636363636,0.0,965.0,49.4649227110583,12.8497409326425,31.0,3.35483870967742,7.0,41.3272270271793,20542.0522591887,372.661,400.132
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,0.0,0.0,0.0,8.0,45.3362255965293,42.0,16.0,55.0,2.0,0.0,0.0,2.0,0.0,1007.0,92.1258181818182,0.0,1007.0,53.7015276145711,15.4915590863952,32.0,3.5703125,6.0,35.8325052045121,20119.5796187044,381.948,424.714
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,1.0,1.0,0.0,5.0,50.7936507936508,40.0,25.0,57.0,2.0,0.0,0.0,2.0,0.0,964.0,92.8065454545454,0.0,964.0,58.2750582750583,10.9958506224066,39.0,3.20512820512821,7.0,36.3996787525988,21507.4186047754,410.471,449.825
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,0.0,0.0,0.0,5.0,51.3100436681223,38.0,17.0,54.0,3.0,0.0,0.0,1.0,0.0,960.0,93.8374545454545,0.0,960.0,53.1542056074766,10.8333333333333,35.0,3.25,3.0,40.031496479818,21384.0310050406,390.877,427.488
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,1.0,1.0,0.0,7.0,63.9798488664987,42.0,17.0,62.0,3.0,0.0,1.0,2.0,1.0,984.0,94.0501818181818,0.0,984.0,50.5141388174807,20.9349593495935,29.0,3.38793103448276,4.0,38.7809942757065,19039.452623345,350.524,373.262
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,1.0,1.0,0.0,8.0,53.2407407407407,46.0,17.0,57.0,2.0,1.0,0.0,1.0,0.0,960.0,94.2727272727273,0.0,960.0,52.0581113801453,13.9583333333333,31.0,3.46774193548387,7.0,40.1226962309892,21675.8410582355,355.284,388.902
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,2.0,2.0,0.0,10.0,55.6473829201102,45.0,12.0,59.0,3.0,0.0,0.0,1.0,0.0,960.0,94.9272727272727,0.0,960.0,48.780487804878,23.125,26.0,3.46153846153846,4.0,37.9473408858706,19363.6454112359,333.552,365.914
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,1.0,1.0,0.0,7.0,52.3326572008114,50.0,24.0,64.0,1.0,0.0,1.0,1.0,0.0,1010.0,92.512,0.0,1010.0,57.9505300353357,15.9405940594059,34.0,3.61764705882353,9.0,39.8863092107925,18655.6021094754,380.312,404.131
