escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,2.0,2.0,0.0,5.0,46.7289719626168,46.0,9.0,58.0,2.0,0.0,0.0,1.0,0.0,963.0,94.9010909090909,0.0,963.0,50.414201183432,12.2533748701973,29.0,3.67241379310345,2.0,22096.595957535,341.132,432.492
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,0.0,0.0,0.0,9.0,52.2198731501057,47.0,17.0,59.0,1.0,0.0,0.0,0.0,0.0,985.0,92.1192727272727,0.0,985.0,52.8748590755355,9.9492385786802,32.0,3.6640625,7.0,22574.9515914031,381.123,471.731
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,1.0,1.0,0.0,9.0,62.7490039840637,42.0,22.0,53.0,1.0,0.0,1.0,0.0,0.0,1015.0,90.9901818181818,0.0,1015.0,59.0106007067138,16.3546798029557,36.0,3.47916666666667,10.0,19568.3793030497,357.233,430.137
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,4.0,3.0,1.0,10.0,59.6009975062344,39.0,8.0,49.0,1.0,0.0,0.0,1.0,0.0,965.0,94.1712727272727,0.0,965.0,52.8781793842035,22.5906735751295,29.0,3.4051724137931,6.0,18432.2527079746,332.67,432.518
D1 parejo,1,1,Presion alta,Contragolpe,77243,true,2.0,0.0,2.0,11.0,49.8800959232614,37.0,13.0,56.0,2.0,0.0,1.0,1.0,0.0,1015.0,93.664,0.0,1015.0,51.2406947890819,20.5911330049261,28.0,3.6875,6.0,18880.5972508252,400.593,424.472
D1 favorito,1,4,Tiki taka,Juego directo,77100,true,6.0,6.0,0.0,10.0,52.2144522144522,39.0,29.0,59.0,1.0,0.0,1.0,0.0,0.0,966.0,89.8349090909091,0.0,966.0,58.1521739130435,23.8095238095238,36.0,2.97222222222222,8.0,17878.5580995793,310.755,347.059
D1 favorito,1,4,Tiki taka,Juego directo,77113,true,6.0,6.0,0.0,10.0,62.1287128712871,38.0,15.0,52.0,5.0,0.0,0.0,4.0,1.0,1019.0,89.6090909090909,0.0,1019.0,57.9330422125182,32.5809617271835,29.0,3.43103448275862,4.0,15208.928298762,271.32,322.478
D1 favorito,1,4,Tiki taka,Juego directo,77126,true,2.0,2.0,0.0,5.0,52.9126213592233,42.0,18.0,56.0,4.0,0.0,2.0,2.0,1.0,999.0,91.9883636363636,0.0,999.0,53.8563829787234,24.7247247247247,34.0,2.97794117647059,8.0,18305.7765739427,329.686,353.265
D1 favorito,1,4,Tiki taka,Juego directo,77139,true,5.0,5.0,0.0,14.0,49.1525423728814,43.0,14.0,57.0,1.0,0.0,1.0,0.0,0.0,960.0,88.9774545454545,0.0,960.0,56.241426611797,24.0625,36.0,2.84722222222222,11.0,18328.9486392515,321.699,375.642
D1 favorito,1,4,Tiki taka,Juego directo,77152,true,6.0,6.0,0.0,11.0,53.5962877030162,50.0,16.0,66.0,2.0,0.0,0.0,2.0,0.0,964.0,91.7298181818182,0.0,964.0,56.8211920529801,21.6804979253112,35.0,3.06428571428571,7.0,19049.4904622923,346.239,403.731
