escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,2.0,1.0,1.0,11.0,45.3825857519789,42.0,10.0,52.0,1.0,0.0,0.0,0.0,0.0,961.0,93.8979960262614,0.0,961.0,47.3091364205257,16.8574401664932,29.0,3.25862068965517,7.0,40.4057883320058,20280.6443779917,409.407,447.529
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,0.0,0.0,0.0,11.0,47.0588235294118,37.0,18.0,53.0,3.0,0.0,0.0,2.0,1.0,989.0,93.5829647638294,0.0,989.0,48.1525625744934,15.1668351870576,35.0,2.88571428571429,9.0,39.1869046394753,20302.4851928122,411.493,463.705
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,1.0,0.0,1.0,7.0,50.1199040767386,45.0,9.0,53.0,5.0,0.0,0.0,1.0,0.0,965.0,93.9450853770925,0.0,965.0,51.8844221105528,17.5129533678756,25.0,4.13,4.0,40.8832731675086,20721.1416342597,428.158,501.935
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,1.0,0.0,1.0,11.0,52.4008350730689,52.0,16.0,65.0,1.0,0.0,0.0,1.0,0.0,960.0,92.9598306772422,0.0,960.0,55.4651162790698,10.4166666666667,33.0,3.61363636363636,5.0,36.3107283368357,20955.3048979733,442.46,481.638
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,3.0,1.0,2.0,6.0,50.5091649694501,47.0,21.0,58.0,3.0,0.0,1.0,3.0,1.0,989.0,93.500801707357,0.0,989.0,61.5869017632242,19.7168857431749,36.0,3.39583333333333,8.0,37.2170053003394,18778.5136716816,499.562,523.743
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,1.0,0.0,1.0,8.0,44.5161290322581,40.0,17.0,53.0,4.0,0.0,0.0,1.0,0.0,967.0,92.736364432204,0.0,967.0,56.9667077681874,16.1323681489142,30.0,3.85,3.0,39.4115932145482,19685.5761202975,461.858,524.372
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,2.0,0.0,2.0,9.0,43.455497382199,55.0,11.0,72.0,2.0,0.0,0.0,1.0,0.0,961.0,94.7208876458628,0.0,961.0,47.9245283018868,17.2736732570239,21.0,4.53571428571429,3.0,36.9334442676473,20202.6264504634,482.482,499.675
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,6.0,48.4126984126984,41.0,15.0,56.0,2.0,0.0,0.0,1.0,0.0,973.0,93.8358331676239,0.0,973.0,46.1254612546125,16.4439876670093,29.0,3.23275862068966,5.0,39.7636031741567,21631.1316031905,462.795,502.006
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,12.0,47.5524475524476,52.0,11.0,64.0,1.0,0.0,0.0,0.0,0.0,970.0,93.1042258277939,0.0,970.0,49.8829039812646,11.9587628865979,31.0,3.43548387096774,6.0,37.615696055459,22732.4928566846,496.484,522.108
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,3.0,3.0,0.0,7.0,49.2105263157895,40.0,16.0,54.0,4.0,0.0,1.0,2.0,0.0,965.0,93.773398138973,0.0,965.0,51.6348773841962,23.9378238341969,28.0,3.38392857142857,4.0,38.9147585771145,18886.0151278434,381.039,405.752
