escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,2.0,2.0,0.0,10.0,53.9863325740319,51.0,12.0,64.0,0.0,0.0,0.0,0.0,0.0,963.0,96.5145454545455,0.0,963.0,49.3813273340832,7.68431983385254,29.0,3.78448275862069,7.0,40.6544847952817,22203.9484316765,466.762,469.298
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,2.0,1.0,1.0,9.0,50.1113585746102,43.0,21.0,55.0,2.0,0.0,0.0,1.0,0.0,972.0,94.0403636363636,0.0,972.0,53.5024154589372,14.8148148148148,35.0,3.16428571428571,8.0,40.7054172565114,20328.9010616838,437.332,486.706
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,4.0,2.0,2.0,8.0,50.8951406649616,47.0,9.0,58.0,1.0,0.0,0.0,0.0,0.0,966.0,95.0909090909091,0.0,966.0,47.7886977886978,15.7349896480331,26.0,3.74038461538462,5.0,41.5046300054261,20764.5696211186,376.371,400.296
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,0.0,0.0,0.0,9.0,50.6550218340611,41.0,15.0,56.0,2.0,0.0,0.0,2.0,0.0,960.0,94.1549090909091,0.0,960.0,53.9285714285714,12.5,37.0,3.06081081081081,6.0,35.9016737962475,21787.6252989677,379.888,415.437
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,3.0,2.0,1.0,9.0,56.6666666666667,43.0,18.0,59.0,2.0,0.0,0.0,2.0,0.0,961.0,93.7850909090909,0.0,961.0,56.5272496831432,17.89802289282,33.0,3.37878787878788,6.0,36.5529638655262,20021.4642233049,367.604,401.486
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,1.0,1.0,0.0,8.0,56.935817805383,47.0,25.0,64.0,5.0,0.0,0.0,2.0,0.0,1061.0,91.7298181818182,0.0,1061.0,57.4162679425837,21.2064090480679,41.0,2.92682926829268,8.0,39.8116742462059,19644.0712738764,406.237,444.102
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,3.0,2.0,1.0,8.0,59.75,42.0,19.0,64.0,1.0,0.0,0.0,1.0,0.0,960.0,95.3461818181818,0.0,960.0,50.765306122449,18.3333333333333,31.0,3.20967741935484,5.0,38.7607501380932,19561.6684762116,369.268,393.593
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,6.0,54.3577981651376,50.0,17.0,61.0,3.0,1.0,0.0,1.0,0.0,967.0,93.6836363636364,0.0,967.0,52.7405602923264,15.0982419855222,29.0,3.73275862068966,5.0,41.3599719344721,21154.0296971349,372.87,406.927
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,2.0,2.0,0.0,12.0,49.1139240506329,50.0,8.0,59.0,0.0,0.0,0.0,0.0,0.0,964.0,95.2578181818182,0.0,964.0,46.9047619047619,12.8630705394191,27.0,3.64814814814815,3.0,37.6849575482731,21922.0829101719,369.834,401.354
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,3.0,3.0,0.0,10.0,56.8493150684931,48.0,18.0,60.0,1.0,0.0,1.0,1.0,0.0,1010.0,92.4367272727273,0.0,1010.0,55.1201011378003,21.6831683168317,30.0,3.63333333333333,7.0,38.2261337452548,19036.0602944652,362.881,394.381
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,2.0,2.0,0.0,11.0,55.1801801801802,39.0,20.0,53.0,4.0,0.0,0.0,1.0,0.0,960.0,91.5661818181818,0.0,960.0,57.7981651376147,20.5208333333333,35.0,3.15,12.0,42.6823885789889,18266.5182252094,356.409,390.853
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,2.0,0.0,2.0,11.0,46.7849223946785,53.0,11.0,65.0,0.0,0.0,1.0,0.0,0.0,992.0,94.5607272727273,0.0,992.0,54.3922984356197,16.2298387096774,26.0,4.34615384615385,6.0,38.1223256090837,20685.9981799029,377.713,419.412
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,1.0,1.0,0.0,7.0,56.2929061784897,32.0,20.0,47.0,3.0,0.0,0.0,0.0,0.0,960.0,90.7872727272727,0.0,960.0,55.9278350515464,19.1666666666667,33.0,3.28787878787879,11.0,40.7284584458316,18844.9683593408,358.557,456.375
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,0.0,0.0,0.0,7.0,44.4924406047516,34.0,17.0,49.0,4.0,0.0,0.0,3.0,0.0,960.0,92.8294545454546,0.0,960.0,56.25,15.0,33.0,3.47727272727273,6.0,40.268472178197,20967.4026094745,430.953,498.037
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,4.0,1.0,3.0,10.0,52.6027397260274,43.0,6.0,51.0,3.0,0.0,0.0,1.0,0.0,1011.0,95.1334545454545,0.0,1011.0,46.3508322663252,22.7497527200791,23.0,3.93478260869565,4.0,40.779008943847,19493.4454840128,446.403,506.002
D1 parejo,1,1,Presion alta,Contragolpe,77139,true,1.0,0.0,1.0,9.0,50.5966587112172,30.0,19.0,46.0,4.0,1.0,0.0,4.0,1.0,1031.0,91.2683636363636,0.0,1031.0,52.5380710659898,23.5693501454898,30.0,3.45,6.0,37.3737848247784,18265.1905894183,442.243,473.437
D1 parejo,1,1,Presion alta,Contragolpe,77152,true,1.0,0.0,1.0,6.0,47.9915433403806,37.0,22.0,46.0,3.0,1.0,0.0,2.0,0.0,965.0,90.6367272727273,0.0,965.0,57.888198757764,16.580310880829,35.0,3.32857142857143,5.0,37.4478934425461,20764.8812406409,472.422,502.726
D1 parejo,1,1,Presion alta,Contragolpe,77165,true,2.0,1.0,1.0,7.0,47.4654377880184,40.0,20.0,57.0,3.0,0.0,0.0,2.0,0.0,1005.0,92.9210909090909,0.0,1005.0,51.555023923445,16.81592039801,33.0,3.26515151515152,5.0,40.135291688832,19918.6563736489,499.646,492.929
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,2.0,2.0,0.0,8.0,61.1111111111111,38.0,17.0,49.0,3.0,0.0,0.0,2.0,0.0,960.0,92.7345454545454,0.0,960.0,53.2418952618454,16.4583333333333,30.0,3.55833333333333,7.0,39.8929063441591,20508.7965022121,364.164,395.157
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,1.0,1.0,0.0,3.0,59.3877551020408,42.0,12.0,53.0,2.0,0.0,0.0,1.0,0.0,960.0,92.5610909090909,0.0,960.0,56.25,10.0,27.0,4.5,5.0,42.7110959969675,21708.2065085664,383.726,415.804
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,2.0,2.0,0.0,9.0,67.9586563307493,35.0,15.0,45.0,5.0,0.0,0.0,4.0,1.0,989.0,93.4381818181818,0.0,989.0,52.1798365122616,25.783619817998,26.0,3.68269230769231,7.0,40.3342322124358,18434.6294137861,317.597,346.962
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,3.0,3.0,0.0,8.0,49.5934959349594,36.0,13.0,44.0,3.0,0.0,0.0,1.0,0.0,1000.0,90.5909090909091,0.0,1000.0,61.1320754716981,20.5,30.0,4.05,5.0,39.5553038017556,16411.566894796,359.842,394.95
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,3.0,2.0,1.0,9.0,52.1428571428571,40.0,11.0,48.0,2.0,0.0,0.0,1.0,0.0,969.0,91.2454545454545,0.0,969.0,54.1069100391134,20.8462332301342,28.0,3.70535714285714,6.0,39.6582351776933,18674.31348989,371.268,499.063
