escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,1.0,1.0,0.0,8.0,52.2321428571429,50.0,17.0,68.0,1.0,0.0,0.0,0.0,0.0,960.0,96.0727272727273,0.0,960.0,53.855421686747,13.5416666666667,34.0,3.28676470588235,6.0,41.8839908157363,21718.0656976862,283.107,312.243
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,1.0,0.0,1.0,8.0,51.3274336283186,51.0,15.0,66.0,1.0,0.0,0.0,1.0,0.0,963.0,95.4705454545455,0.0,963.0,54.2822677925211,13.9148494288681,31.0,3.62903225806452,4.0,39.7430796257888,21851.0845555826,278.869,310.307
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,0.0,0.0,0.0,7.0,49.247311827957,51.0,17.0,67.0,1.0,0.0,0.0,0.0,0.0,994.0,94.4756363636364,0.0,994.0,51.6816143497758,10.261569416499,36.0,3.20138888888889,8.0,41.6067989010146,22932.0279352003,304.746,338.918
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,1.0,0.0,1.0,11.0,50.6607929515419,45.0,17.0,58.0,1.0,0.0,1.0,1.0,0.0,1004.0,92.908,0.0,1004.0,57.1069182389937,20.8167330677291,33.0,3.43939393939394,7.0,36.4388415972797,19389.1043320146,287.89,320.676
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,3.0,2.0,1.0,12.0,51.9396551724138,58.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,960.0,95.7356363636364,0.0,960.0,56.3260340632603,14.375,26.0,4.45192307692308,2.0,36.9441104004437,21253.747304976,284.742,316.527
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,1.0,0.0,1.0,9.0,53.1182795698925,51.0,15.0,61.0,3.0,0.0,0.0,1.0,0.0,962.0,94.5607272727273,0.0,962.0,56.6544566544567,14.8648648648649,33.0,3.51515151515152,6.0,37.8789789095125,21299.4842658171,293.029,322.433
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,1.0,1.0,0.0,7.0,47.8260869565217,45.0,14.0,61.0,2.0,0.0,0.0,0.0,0.0,965.0,96.6585454545454,0.0,965.0,49.8181818181818,14.5077720207254,34.0,3.02205882352941,3.0,37.8575085791497,21985.8020216747,287.631,324.732
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,1.0,1.0,0.0,11.0,52.1186440677966,61.0,14.0,72.0,1.0,0.0,0.0,1.0,0.0,972.0,94.2105454545455,0.0,972.0,53.8901601830664,10.082304526749,32.0,3.6796875,5.0,41.5670915081813,22471.3252093289,306.42,334.916
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,9.0,48.0861244019139,53.0,12.0,64.0,0.0,0.0,0.0,0.0,0.0,964.0,96.4261818181818,0.0,964.0,49.7607655502392,13.2780082987552,30.0,3.46666666666667,5.0,38.9797459855998,21954.9654824917,287.493,319.005
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,4.0,4.0,0.0,6.0,55.9895833333333,38.0,12.0,50.0,5.0,0.0,1.0,1.0,0.0,1007.0,93.7687272727273,0.0,1007.0,53.5511363636364,30.0893743793446,34.0,2.77205882352941,4.0,35.5210384755592,17553.2383818491,258.301,289.362
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,1.0,1.0,0.0,7.0,50.7760532150776,38.0,24.0,59.0,2.0,0.0,0.0,0.0,0.0,960.0,93.9847272727273,0.0,960.0,56.1557788944724,17.0833333333333,41.0,2.72560975609756,12.0,42.955981965193,19597.730946641,273.853,305.343
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,1.0,0.0,1.0,11.0,42.9223744292237,51.0,15.0,64.0,1.0,0.0,0.0,0.0,0.0,960.0,93.6378181818182,0.0,960.0,52.536231884058,13.75,30.0,3.625,8.0,37.0228663050409,21443.2473829209,281.729,311.35
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,1.0,0.0,1.0,9.0,49.3697478991597,46.0,17.0,56.0,2.0,0.0,0.0,0.0,0.0,963.0,93.5167272727273,0.0,963.0,57.3333333333333,14.3302180685358,36.0,3.28472222222222,6.0,41.9292494766577,20487.1146739426,287.873,321.813
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,1.0,1.0,0.0,8.0,48.9583333333333,41.0,13.0,58.0,2.0,0.0,0.0,2.0,0.0,964.0,95.5229090909091,0.0,964.0,56.2867215041128,11.7219917012448,32.0,3.7421875,6.0,43.2690801721255,21299.001706149,288.075,313.404
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,1.0,1.0,0.0,7.0,51.3859275053305,46.0,21.0,61.0,1.0,0.0,0.0,0.0,0.0,969.0,94.9763636363636,0.0,969.0,55.2538370720189,12.5902992776058,33.0,3.54545454545455,7.0,41.9619410644813,20910.1746150044,295.111,324.753
