escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,3.0,2.0,1.0,8.0,55.0122249388753,39.0,11.0,50.0,3.0,0.0,0.0,2.0,0.0,960.0,93.3236363636364,0.0,960.0,55.3424657534247,23.9583333333333,24.0,4.20833333333333,2.0,39.4510531523649,18835.366796914,308.195,338.126
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,2.0,2.0,0.0,5.0,53.5483870967742,41.0,22.0,54.0,3.0,1.0,0.0,1.0,0.0,960.0,92.6952727272727,0.0,960.0,57.8027465667915,16.5625,34.0,3.40441176470588,7.0,43.6082305641077,20602.7327151697,337.568,366.1
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,4.0,3.0,1.0,11.0,51.6198704103672,34.0,23.0,46.0,3.0,0.0,0.0,1.0,0.0,963.0,89.6123636363636,0.0,963.0,59.8179453836151,20.1453790238837,40.0,2.875,7.0,39.2343420881117,19966.0137841599,331.29,360.359
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,4.0,4.0,0.0,7.0,61.6780045351474,31.0,17.0,45.0,4.0,0.0,0.0,2.0,0.0,960.0,94.1941818181818,0.0,960.0,60.4715672676838,24.8958333333333,33.0,3.3030303030303,2.0,40.4605800683323,18184.9557397149,302.469,333.938
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,2.0,1.0,1.0,9.0,45.1271186440678,37.0,17.0,53.0,2.0,1.0,0.0,0.0,0.0,966.0,91.4712727272727,0.0,966.0,56.4009661835749,14.2857142857143,36.0,3.24305555555556,13.0,43.5977824893277,19611.5979319513,329.596,364.648
D1 parejo,1,1,Presion alta,Contragolpe,77243,true,2.0,1.0,1.0,8.0,54.4444444444444,37.0,12.0,53.0,3.0,1.0,0.0,1.0,0.0,1008.0,93.9192727272727,0.0,1008.0,54.8585485854859,19.3452380952381,27.0,4.12962962962963,5.0,39.3698146193607,18295.2331143873,342.391,375.684
D1 favorito,1,4,Tiki taka,Juego directo,77100,true,3.0,3.0,0.0,7.0,60.7228915662651,55.0,19.0,63.0,5.0,0.0,0.0,1.0,0.0,1012.0,91.0425454545454,0.0,1012.0,55.7377049180328,27.6679841897233,29.0,3.51724137931034,5.0,42.13399200335,16174.8188079748,310.71,344.554
D1 favorito,1,4,Tiki taka,Juego directo,77113,true,5.0,5.0,0.0,7.0,64.7311827956989,44.0,22.0,56.0,4.0,0.0,0.0,3.0,0.0,969.0,89.2687272727273,0.0,969.0,61.9946091644205,23.4262125902993,36.0,3.19444444444444,9.0,40.6227086835808,16950.7639698039,311.813,342.597
D1 favorito,1,4,Tiki taka,Juego directo,77126,true,5.0,5.0,0.0,11.0,52.4705882352941,47.0,14.0,56.0,2.0,0.0,0.0,0.0,0.0,972.0,90.7152727272727,0.0,972.0,56.9105691056911,24.0740740740741,31.0,3.38709677419355,9.0,40.1001121300494,18208.4843012106,315.022,340.751
D1 favorito,1,4,Tiki taka,Juego directo,77139,true,3.0,3.0,0.0,13.0,49.7967479674797,58.0,20.0,69.0,1.0,0.0,0.0,1.0,0.0,1011.0,87.2265454545455,0.0,1011.0,60.8966376089664,20.5736894164194,37.0,3.30405405405405,13.0,36.1744042810296,17532.4581449735,333.202,365.827
