escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,0.0,0.0,0.0,5.0,49.126213592233,56.0,14.0,71.0,0.0,0.0,0.0,0.0,0.0,960.0,96.1938181818182,0.0,960.0,57.7878103837472,7.70833333333333,32.0,4.0,4.0,40.6807401178739,21901.4303211957,362.938,394.54
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,2.0,1.0,1.0,6.0,53.8759689922481,53.0,20.0,66.0,1.0,1.0,0.0,1.0,0.0,967.0,93.0029090909091,0.0,967.0,59.6287703016241,10.8583247156153,38.0,3.38157894736842,11.0,41.1333721400303,20558.6642610928,361.699,394.22
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,0.0,0.0,0.0,7.0,53.8910505836576,54.0,22.0,69.0,3.0,0.0,1.0,1.0,0.0,1018.0,93.2025454545454,0.0,1018.0,59.8141695702671,15.4223968565815,38.0,3.38815789473684,9.0,41.9100830104262,19833.7418489422,376.364,411.369
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,3.0,0.0,3.0,8.0,54.3046357615894,43.0,17.0,58.0,6.0,0.0,0.0,3.0,0.0,999.0,91.612,0.0,999.0,61.5384615384615,27.1271271271271,36.0,3.11111111111111,9.0,35.8115044927857,16951.2116193359,334.216,368.607
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,1.0,0.0,1.0,4.0,49.6932515337423,48.0,20.0,66.0,4.0,0.0,0.0,3.0,1.0,983.0,93.8538181818182,0.0,983.0,59.8765432098765,17.5991861648016,33.0,3.67424242424242,5.0,35.1320841721717,19710.5316834713,355.237,385.255
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,2.0,0.0,2.0,7.0,51.3565891472868,53.0,17.0,66.0,2.0,0.0,0.0,0.0,0.0,1005.0,93.1763636363636,0.0,1005.0,60.9467455621302,15.9203980099502,32.0,4.0234375,4.0,39.5153612447336,19679.0972644449,369.147,403.495
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,5.0,5.0,0.0,8.0,60.9243697478992,60.0,15.0,77.0,0.0,0.0,0.0,0.0,0.0,995.0,96.3378181818182,0.0,995.0,56.5992865636147,15.4773869346734,29.0,4.10344827586207,2.0,38.1606080342431,20349.1827876256,370.792,413.67
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,7.0,54.8387096774194,51.0,16.0,63.0,3.0,1.0,0.0,3.0,0.0,960.0,94.4625454545454,0.0,960.0,56.3260340632603,14.375,29.0,3.99137931034483,9.0,41.5904263258034,20741.8377292627,354.136,384.977
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,7.0,60.1366742596811,54.0,13.0,71.0,3.0,0.0,0.0,0.0,1.0,995.0,95.1563636363636,0.0,995.0,51.9572953736655,15.2763819095477,27.0,4.05555555555556,3.0,36.7969234274995,20557.9977603602,345.1,374.902
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,2.0,1.0,1.0,10.0,46.8609865470852,56.0,9.0,67.0,2.0,0.0,0.0,1.0,0.0,961.0,93.7163636363636,0.0,961.0,56.4167725540025,18.1061394380853,23.0,4.82608695652174,3.0,39.3879061418051,19357.976807362,328.077,365.431
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,1.0,1.0,0.0,9.0,47.6694915254237,41.0,16.0,51.0,4.0,0.0,0.0,2.0,0.0,980.0,91.8050909090909,0.0,980.0,59.8717948717949,20.4081632653061,32.0,3.6484375,8.0,42.3207275974418,18985.3526759568,353.078,390.891
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,2.0,0.0,2.0,7.0,45.8333333333333,52.0,15.0,69.0,2.0,0.0,0.0,1.0,0.0,1009.0,93.3825454545455,0.0,1009.0,57.0405727923628,16.9474727452924,27.0,4.42592592592593,3.0,37.7634674208433,21063.6067239403,378.592,413.065
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,1.0,1.0,0.0,5.0,52.5911708253359,44.0,20.0,60.0,2.0,0.0,0.0,0.0,0.0,960.0,91.9098181818182,0.0,960.0,60.7476635514019,10.8333333333333,35.0,3.71428571428571,10.0,40.3782415339637,20618.5013576373,370.523,403.182
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,3.0,1.0,2.0,12.0,57.1428571428571,35.0,16.0,46.0,6.0,1.0,0.0,4.0,0.0,997.0,90.9410909090909,0.0,997.0,58.0141843971631,29.2878635907723,34.0,3.00735294117647,7.0,41.3220590664126,17347.4791264411,315.783,345.868
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,2.0,1.0,1.0,8.0,51.81598062954,33.0,18.0,47.0,1.0,0.0,0.0,0.0,0.0,1006.0,93.6836363636364,0.0,1006.0,51.7766497461929,21.6699801192843,36.0,2.83333333333333,4.0,41.3620910190709,18204.2925924254,343.633,383.921
D1 parejo,1,1,Presion alta,Contragolpe,77139,true,2.0,2.0,0.0,10.0,53.4334763948498,41.0,15.0,48.0,1.0,0.0,0.0,1.0,0.0,961.0,90.1687272727273,0.0,961.0,58.1132075471698,17.2736732570239,30.0,3.85,6.0,37.932972597434,19560.7726577255,351.496,384.507
D1 parejo,1,1,Presion alta,Contragolpe,77152,true,1.0,1.0,0.0,7.0,50.0917431192661,32.0,30.0,43.0,3.0,0.0,0.0,3.0,0.0,960.0,88.7352727272727,0.0,960.0,67.2049689440994,16.1458333333333,41.0,3.29878048780488,8.0,37.3722706148866,19998.6336114954,389.484,418.101
D1 parejo,1,1,Presion alta,Contragolpe,77165,true,4.0,3.0,1.0,11.0,54.2857142857143,39.0,20.0,57.0,4.0,0.0,0.0,1.0,0.0,1016.0,91.0098181818182,0.0,1016.0,59.8937583001328,25.8858267716535,35.0,3.22142857142857,9.0,38.3391588325202,17905.9609601833,355.754,388.069
