escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,3.0,1.0,2.0,8.0,53.8283062645012,32.0,17.0,47.0,2.0,0.0,0.0,2.0,0.0,961.0,92.368,0.0,961.0,57.6043068640646,22.684703433923,32.0,3.34375,3.0,38.1890788570139,18644.7127048906,671.345,732.163
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,3.0,3.0,0.0,8.0,55.1898734177215,42.0,14.0,57.0,3.0,0.0,0.0,2.0,0.0,995.0,94.1221818181818,0.0,995.0,50.3886010362694,22.4120603015075,28.0,3.47321428571429,6.0,43.9439793670137,19944.0290565386,672.395,743.019
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,3.0,1.0,2.0,10.0,52.2,35.0,25.0,50.0,4.0,1.0,0.0,3.0,1.0,993.0,92.0309090909091,0.0,993.0,63.312101910828,20.9466263846928,43.0,2.88953488372093,9.0,39.1802929000446,18870.1374011557,705.647,747.729
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,3.0,3.0,0.0,8.0,59.7678916827853,38.0,18.0,52.0,2.0,0.0,0.0,0.0,0.0,1000.0,90.9934545454546,0.0,1000.0,62.2436670687575,17.1,33.0,3.90909090909091,5.0,40.7332648211289,19840.9337534046,702.23,738.352
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,1.0,1.0,0.0,8.0,52.7839643652561,33.0,13.0,47.0,5.0,0.0,0.0,2.0,0.0,964.0,92.9112727272727,0.0,964.0,58.5751978891821,21.3692946058091,29.0,3.82758620689655,5.0,42.4768189786897,18292.8419207188,638.372,681.46
D1 parejo,1,1,Presion alta,Contragolpe,77243,true,3.0,1.0,2.0,11.0,56.1538461538462,39.0,12.0,51.0,3.0,0.0,0.0,1.0,0.0,960.0,94.2301818181818,0.0,960.0,55.9077809798271,27.7083333333333,26.0,3.73076923076923,5.0,37.9328024084088,17649.7880189309,608.791,613.845
D1 favorito,1,4,Tiki taka,Juego directo,77100,true,6.0,6.0,0.0,11.0,65.938864628821,48.0,22.0,65.0,1.0,0.0,1.0,0.0,0.0,963.0,91.3403636363636,0.0,963.0,63.3333333333333,25.2336448598131,28.0,4.07142857142857,7.0,40.317140583633,16826.3254059665,629.013,687.67
D1 favorito,1,4,Tiki taka,Juego directo,77113,true,3.0,3.0,0.0,9.0,62.1809744779582,54.0,6.0,61.0,2.0,0.0,0.0,2.0,0.0,963.0,94.0861818181818,0.0,963.0,55.46875,20.2492211838006,20.0,5.325,3.0,38.9246955777581,18736.48636115,630.903,628.556
D1 favorito,1,4,Tiki taka,Juego directo,77126,true,2.0,2.0,0.0,7.0,55.7142857142857,53.0,22.0,71.0,4.0,0.0,0.0,3.0,0.0,962.0,93.4054545454545,0.0,962.0,60.875,16.8399168399168,37.0,3.29054054054054,10.0,39.5507174794149,19615.0175069715,695.476,763.297
D1 favorito,1,4,Tiki taka,Juego directo,77139,true,3.0,3.0,0.0,7.0,49.5575221238938,42.0,23.0,57.0,6.0,0.0,0.0,4.0,0.0,1009.0,89.6974545454545,0.0,1009.0,61.4424410540915,28.5431119920714,33.0,3.35606060606061,7.0,36.8516646284845,17554.7687425922,629.646,691.162
D1 favorito,1,4,Tiki taka,Juego directo,77152,true,6.0,6.0,0.0,11.0,59.0799031476998,54.0,13.0,71.0,2.0,0.0,2.0,1.0,0.0,962.0,94.5836363636364,0.0,962.0,59.7383720930233,28.4823284823285,27.0,3.80555555555556,8.0,34.5712741721612,17109.3908395746,593.255,629.903
D1 favorito,1,4,Tiki taka,Juego directo,77165,true,4.0,4.0,0.0,10.0,58.0865603644647,41.0,21.0,62.0,2.0,0.0,1.0,0.0,0.0,1000.0,89.1967272727273,0.0,1000.0,61.6690240452617,29.3,37.0,2.94594594594595,9.0,35.8602166541422,16065.2624966906,654.079,708.894
D1 favorito,1,4,Tiki taka,Juego directo,77178,true,6.0,6.0,0.0,8.0,64.468085106383,51.0,18.0,79.0,2.0,0.0,0.0,1.0,0.0,991.0,92.2730909090909,0.0,991.0,59.514687100894,20.9889001009082,31.0,3.75806451612903,3.0,38.6194989186021,18342.8948014803,658.884,755.28
D1 favorito,1,4,Tiki taka,Juego directo,77191,true,4.0,4.0,0.0,10.0,50.4273504273504,57.0,24.0,69.0,1.0,0.0,0.0,0.0,0.0,1015.0,92.3941818181818,0.0,1015.0,58.375,21.1822660098522,36.0,3.24305555555556,14.0,41.4822586655064,19420.5331123013,690.392,767.228
D1 favorito,1,4,Tiki taka,Juego directo,77204,true,7.0,7.0,0.0,13.0,59.7647058823529,44.0,17.0,68.0,0.0,0.0,0.0,0.0,0.0,966.0,91.9458181818182,0.0,966.0,54.639175257732,19.6687370600414,37.0,2.86486486486486,6.0,38.3358141567951,18883.7780156111,665.472,714.264
D1 favorito,1,4,Tiki taka,Juego directo,77217,true,4.0,4.0,0.0,9.0,59.3117408906883,53.0,17.0,67.0,2.0,1.0,1.0,1.0,0.0,1002.0,91.9654545454545,0.0,1002.0,65.4304635761589,24.6506986027944,29.0,4.25862068965517,5.0,38.8194038846343,16872.1994314947,645.837,742.13
D1 favorito,1,4,Tiki taka,Juego directo,77230,true,7.0,7.0,0.0,14.0,62.004662004662,38.0,18.0,51.0,2.0,0.0,0.0,1.0,0.0,977.0,90.0378181818182,0.0,977.0,62.4269005847953,29.9897645854657,34.0,3.13970588235294,9.0,39.9481416916377,16025.8367925725,574.584,602.926
